address_uuid;build_year;floor_number;residential_area;wall_type;roof_area_total;roof_area_metal;roof_area_web;roof_area_piece_goods
82c2ad6e-27db-4541-8e5d-00163bbe622e;1976;5;4621.250;Блоки;1234.000;0.000;1234.000;0.000
e68f3476-3f10-4374-b682-00de840dae3c;1978;5;2746.540;ж/б блок;1078.550;0.000;1078.550;0.000
e9eb42b5-40b1-459b-b75d-00e01b3dca51;1975;5;5484.050;Кирпич;1835.000;0.000;1835.000;0.000
62f5beff-2753-490c-8115-01cfa320ee40;2002;10;9641.170;Кирпич;1866.000;0.000;1866.000;0.000
90d1cab6-1aa0-4c28-9df9-01f930e6dede;1967;5;1984.200;Кирпич;903.000;0.000;0.000;903.000
623da0de-ef52-484d-8063-02962bb87e9e;1970;5;2924.720;Блоки;1036.000;0.000;1036.000;0.000
4772dc31-92ed-4bc5-ad61-02bb97c68a59;1964;5;3293.680;Кирпич;1186.000;0.000;0.000;1186.000
60bd6606-7e08-47b6-aef4-0495e5c77446;1990;9;6237.570;Панели железобетонные;1050.000;0.000;1050.000;0.000
460edd97-5b51-4538-b502-04a49778b4a1;1985;2;370.550;Кирпич;259.400;0.000;259.400;0.000
0e282991-d3ed-4f15-a878-05d235ca34e5;1975;2;563.030;Кирпич;542.000;0.000;0.000;542.000
85c94654-3955-49b4-81a0-05fa8a6d118d;1992;9;5399.830;Панели железобетонные;861.000;0.000;861.000;0.000
a20c348a-f29d-4ff6-a97b-062eb8c88de0;1990;9;2439.650;Кирпич;546.400;0.000;546.400;0.000
727ce93c-1e4a-43e7-a9a4-07274dabe8a1;1991;9;6266.800;Панели железобетонные;988.000;0.000;988.000;0.000
724dcbad-b9b7-48b9-b4d5-0a48356638d3;1984;5;4474.520;Панели железобетонные;1250.000;0.000;1250.000;0.000
927aeffe-0842-4894-8ada-0a91ccdf1692;1967;5;3033.270;Кирпич;2929.600;530.000;2000.000;530.000
61bdf276-06dd-4344-a7b1-0a986aa7f07a;1976;9;4181.910;Кирпич;759.900;0.000;759.900;0.000
e1b4025c-c231-4670-a0a8-0b0a29a09b79;1979;5;4601.510;Блоки;1215.000;0.000;1215.000;0.000
641292c3-b381-490d-8cf0-0b67d5fb19cb;1965;5;2851.550;Кирпич;1113.000;0.000;1113.000;0.000
1d560926-0842-47a4-be01-0c769b993dbe;1973;5;6205.900;Блоки;1715.000;0.000;1745.000;0.000
9c60bf12-7800-453d-93c5-0d17aa987f0e;1996;5;2087.430;Кирпич;683.000;0.000;683.000;0.000
4e91971b-761d-45c3-83cb-0dd19288e303;1998;5;1354.110;Кирпич;NULL;40.000;400.000;0.000
0e08a852-15f9-4fb2-8971-0dd7a6a55b97;1964;2;628.280;Кирпич;578.000;0.000;0.000;578.000
1068268f-ce72-47f9-be38-0e7feef4293c;1975;5;3314.260;Блоки;1015.000;0.000;1015.000;0.000
d289071d-fc5a-4a92-9a59-0eba5d446cd2;1978;5;6204.920;Блоки;1874.000;0.000;1874.000;0.000
e7e21d61-7891-4db0-9a88-0fe3de314aaa;1976;5;4595.780;Блоки;1307.000;0.000;1307.000;0.000
38f8b40a-bb72-4828-a37d-101231ebba95;1993;9;4235.140;Панели железобетонные;679.000;0.000;679.000;0.000
92a6d9c7-6251-43ff-a6f1-10eb04b138dc;1986;9;7632.220;Кирпич;1263.000;0.000;1263.000;0.000
333e77ed-f2c8-4fbf-b257-1108b077933a;2000;9;4286.020;Панели железобетонные;800.000;0.000;800.000;0.000
98ad88a0-2265-4075-a2e4-11883e6bbb90;1991;9;2498.270;Кирпич;339.000;0.000;339.000;0.000
2193141c-410f-4828-993e-12f9422d1d5d;1963;5;3434.960;Кирпич;1080.000;0.000;0.000;1080.000
2cd0c73d-4576-4563-8dbc-13226e6f616f;1990;9;5425.200;Панели железобетонные;1022.000;0.000;1022.000;0.000
bef36531-9088-403a-aa21-1404df42873d;1975;5;4569.500;Блоки;1245.000;0.000;1245.000;0.000
21a3a182-46c1-4ba7-bc91-1512b1197bea;1995;9;5449.450;Панели железобетонные;848.000;0.000;848.000;0.000
a5de8ac1-ae04-4ee0-a0ee-15159cfbac05;1979;12;3927.620;Кирпич;574.000;0.000;574.000;0.000
349622e0-db6c-4ad4-aee8-15363964112f;1983;9;3601.420;Панели железобетонные;536.200;0.000;688.000;0.000
aa13b9ce-a041-46db-8aa4-155ff6048a50;1992;9;4431.600;Панели железобетонные;412.900;0.000;712.900;0.000
d6d2b50b-4cf9-42c5-840f-15888e1c611f;1966;5;3545.380;Блоки;1100.000;0.000;0.000;1100.000
608bef0c-072a-46a9-9d31-169e10478484;1959;3;993.430;Кирпич;616.000;0.000;0.000;616.000
f420a29e-e437-42fe-b273-178acb15f510;1977;5;5312.530;Блоки;1631.000;0.000;1631.000;0.000
f5d57ae5-3807-498a-a18e-188fdd3262f1;1989;5;4206.500;Кирпич;1358.000;0.000;1358.000;0.000
a7ac2f9d-fd78-49df-81e0-191ee192f11d;1971;5;3454.100;Блоки;893.000;0.000;893.000;0.000
c88fda55-e422-4511-887a-1991701e015f;1971;5;4541.830;Блоки;1199.520;0.000;1371.000;0.000
167a1df1-882a-439a-8119-19991d89d7c6;1996;12;3443.280;Кирпич;528.000;0.000;561.000;0.000
167a1df1-882a-439a-8119-19991d89d7c6;1996;NULL;NULL;Кирпич;528.000;NULL;NULL;NULL
acab0a0b-ecfb-44db-9527-1b16e289ebc3;1985;5;5346.500;ж/б блок;1856.770;0.000;1856.770;0.000
3b640ac1-be90-4f1c-aeb6-1b73f5c59bd6;2002;9;2507.400;Кирпич;290.000;0.000;290.000;0.000
e1c105aa-c583-4afa-b966-1b75ebec40c4;1982;9;7728.660;Панели железобетонные;1213.600;0.000;1213.600;0.000
2d45f468-e8b5-4256-81b6-1bbf1f62b643;1968;5;5383.510;Панели железобетонные;1378.000;0.000;1378.000;0.000
14c9c478-464a-412c-ba80-1be12c132f57;1980;5;3343.580;Кирпич;930.980;0.000;930.980;0.000
5b5d0f68-23fa-4b4e-beb8-1bf1c679e4ea;2006;5;4035.030;Кирпич;NULL;2050.000;0.000;0.000
d41f1d33-a04e-4b0e-9756-1d1e5d751436;1996;9;2098.530;Панели железобетонные;339.500;0.000;339.500;0.000
c8385af8-e26d-4e7d-a392-1d4bf5da72c7;1987;9;2110.720;Панели железобетонные;320.000;0.000;320.000;0.000
e8fc69b1-8b82-494e-9e1b-1dc5e1e9c1ed;1972;5;3434.150;Панели железобетонные;1060.000;0.000;884.000;0.000
cf763e8c-90f7-4976-a309-1e04820a5ec6;1982;9;7740.240;Панели железобетонные;1228.000;0.000;1228.000;0.000
2442be8d-d685-445f-bcc3-1ebe920d1120;1985;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2442be8d-d685-445f-bcc3-1ebe920d1120;1964;NULL;NULL;NULL;NULL;NULL;NULL;NULL
91322371-0545-445f-860e-1f09b1167ac4;2007;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ae9b423a-3e20-48c5-803c-1f3631b40e05;1974;5;4608.960;Блоки;1209.000;0.000;1209.000;0.000
e7f3f53c-67d6-4a3e-a34c-1f6c99b091f4;1981;9;3466.280;Панели железобетонные;595.000;0.000;595.000;0.000
33f95f77-1ae1-4c77-a06d-1f6de00df17c;1987;5;3389.670;Панели железобетонные;967.000;0.000;967.100;0.000
a649e12e-99d1-4ce1-b273-1f972f6e7bf9;1984;12;3938.430;Кирпич;619.990;0.000;619.990;0.000
f57cf6c8-0dbd-48c0-991e-2087897e2d8d;2014;9;3656.210;Панели железобетонные;NULL;0.000;860.790;0.000
9046e370-fa2d-439a-aeb2-21102eca4fff;1984;9;7437.070;Панели железобетонные;1270.000;0.000;1270.000;0.000
bcd0510d-30ae-4d39-a30a-212986a89eb4;1959;2;523.500;Брус;530.000;0.000;0.000;530.000
921036e5-b908-47d6-8fd8-2139a9d1e14c;1973;5;6175.220;Кирпич;1611.000;0.000;1719.100;0.000
a3d5da3d-8b1b-427a-a31d-219c37fc8af2;1987;9;3586.260;Панели железобетонные;544.800;0.000;544.800;0.000
b8918ac9-9f4f-477e-a8f7-21a9af5e2bed;1963;4;1536.650;Кирпич;900.000;0.000;0.000;900.000
ccaf80ae-2c1f-45fc-8146-21b1f5b1305b;1973;5;3280.600;Кирпич;952.700;0.000;952.700;0.000
38e7256d-ea09-48fe-90ff-224504b228bd;1971;9;1959.360;Кирпич;355.000;0.000;355.000;0.000
ad97b8ee-4aa8-4293-a820-2249bf190ca8;1966;5;2521.280;Кирпич;906.000;0.000;0.000;906.000
9d8ce6cc-847e-4a42-b8d2-22505bad5c4b;1959;4;2058.800;Блоки;803.000;803.000;0.000;0.000
05e4aedd-ba05-495c-abcf-227d3ad25fad;1985;9;3581.180;Панели железобетонные;590.000;0.000;590.000;0.000
dcbd0a76-cd46-48a4-935b-229cddd35102;1982;9;3564.310;Кирпич;1108.000;0.000;1108.000;0.000
e86aae9a-45f6-4dff-8c90-22f998fb82ff;1972;5;6020.600;Блоки;1646.000;0.000;1646.000;0.000
b46bf3ed-d94c-423c-a8f3-2356543823f1;1993;4;NULL;NULL;NULL;NULL;NULL;NULL
666927b5-0c25-44b7-9abd-23be4ff2d0c5;1963;4;2594.340;Кирпич;1000.000;0.000;0.000;1000.000
47be641e-09b3-4249-8df0-2403da2e1bd0;1988;5;1351.000;Кирпич;446.000;0.000;446.000;0.000
2a77443a-20d2-4d19-82eb-24657958f64e;1967;5;4980.780;Блоки;1560.000;0.000;1560.000;0.000
db1e7fd4-7f85-472a-a1e1-246f21de4791;2000;9;4293.200;Панели железобетонные;740.000;0.000;740.000;0.000
265f23bf-6b35-4e25-a7ec-2481799fc81e;1991;5;2804.680;Кирпич;831.700;0.000;831.700;0.000
d3c65414-2abc-40ad-9c9e-249df52f1a6d;1963;4;951.350;Кирпич;600.000;0.000;0.000;600.000
61407a19-a77d-42b0-82f3-24bd9416779f;1964;5;3483.280;Блоки;1124.000;0.000;0.000;1124.000
57888e14-742e-427d-a733-24f41c2a78f1;1987;9;3574.910;Панели железобетонные;625.000;0.000;625.000;0.000
f97d5d76-5ecf-436d-bde7-25657ea2e65a;1990;9;2070.160;Панели железобетонные;352.000;0.000;352.000;0.000
2fa1a08c-30a3-4d42-9d85-256d0d4858d8;1979;5;3404.140;ж/б блок;926.000;0.000;926.000;0.000
e8e811c8-c78e-4aaa-bdff-25f9f3d6d9db;1987;9;2411.280;Кирпич;449.600;0.000;449.600;0.000
1246bbc9-91c0-4cce-80be-25fae256e174;1962;4;2055.170;Кирпич;978.000;0.000;0.000;978.000
a4166c3a-24a3-45cf-b126-264340b3b23d;1983;9;5644.440;Панели железобетонные;960.000;0.000;960.000;0.000
189f7416-145a-4f91-ace2-2668dd7a37a4;1965;5;3252.610;Кирпич;1187.000;0.000;0.000;1187.000
3c225aac-c0fa-4555-ad3f-26edc8f30ce3;1957;5;8027.360;Кирпич;NULL;3619.200;0.000;0.000
8ef884fe-e7c9-444f-bd0a-273e2975ecca;1962;5;2526.480;Кирпич;950.000;0.000;0.000;657.800
de6baf4a-3932-48f0-8a91-27bb7716444c;1987;5;3281.330;Панели железобетонные;889.380;0.000;889.380;0.000
89012e59-67cf-4080-91c4-27bccd8f0389;1988;9;2077.210;Панели железобетонные;332.700;0.000;333.000;0.000
6e49a3ba-c353-404f-aa66-27c79ea9ee8d;2013;9;2235.250;Панели железобетонные;394.720;0.000;394.720;0.000
6d674625-31ce-4300-98f0-28e8ab7b78b8;1994;9;2688.450;Панели железобетонные;421.000;0.000;421.000;0.000
0c96b1a1-bd5d-4685-a107-28eba92a9b91;1985;9;5589.120;Панели железобетонные;864.400;0.000;1418.000;0.000
c77c8ad4-945b-40c5-9642-2a18f0766b36;1958;4;2373.000;Шлакоблоки;1358.000;878.000;0.000;0.000
9afd7de9-b6e4-443d-8335-2a392a922f37;1962;4;1957.240;Кирпич;1500.000;900.000;0.000;0.000
a61f5fdd-2e1e-4a80-a212-2b8c72a63a49;1993;9;6308.380;Панели железобетонные;1024.710;0.000;1025.000;0.000
d8d75ec2-60b8-4d33-b485-2bf0a0de0ca9;1980;9;1860.190;Кирпич;267.470;0.000;267.470;0.000
d8d75ec2-60b8-4d33-b485-2bf0a0de0ca9;1980;NULL;NULL;Кирпич;370.000;NULL;NULL;NULL
7aab3aa6-2613-46db-add9-2ca424b0cd46;1981;5;6223.760;Блоки;1764.000;0.000;1754.000;0.000
65f14ba2-ff5b-4ef2-bad4-2cc908ada334;1991;9;6264.150;Панели железобетонные;987.800;0.000;0.000;0.000
83a9e737-f9d9-4bda-9a80-2d236dafcb01;1988;5;3617.110;Панели железобетонные;1032.830;0.000;1032.830;0.000
3b4563a3-7bcf-4fcc-ab12-2d8ef38c45c8;1965;5;2543.870;Кирпич;932.000;0.000;0.000;932.000
a7b47294-1158-461b-aed6-2dc403565b44;1992;9;8303.920;Панели железобетонные;1320.000;0.000;1320.000;0.000
e1c09149-637f-41db-a88e-2e57ee423b97;1981;5;4656.380;ж/б блок;1200.000;0.000;1200.000;0.000
a939070a-0832-4c7d-bf79-2effa9151cd1;1990;5;2744.680;Кирпич;887.480;0.000;887.480;0.000
c53a26c1-35e2-484b-ac9e-2f01a5f83bb2;1971;5;3372.390;Блоки;888.200;0.000;884.000;0.000
e927dd16-bc7e-4377-aba9-2fa9ba983fe0;1988;5;3307.660;ж/б блок;892.500;0.000;892.500;0.000
ba83ec19-e405-4d3c-b699-2fde667bc4ba;1995;4;3035.270;Панели железобетонные;1100.000;0.000;1100.000;0.000
4654bf74-159d-49fb-ad2b-2fe16380244f;1987;NULL;NULL;NULL;NULL;NULL;NULL;NULL
d0c19674-c0de-4fa4-9bc7-2fff3a50bbb7;1963;4;2002.550;ж/б блок;710.000;710.000;0.000;0.000
e40aaac8-af24-47ac-a9e9-3082a04490c9;1974;5;3216.830;Кирпич;1213.110;0.000;1213.110;0.000
38fa75b0-6c82-4d6d-8a76-3112cc9c4414;1963;5;2017.520;Кирпич;878.000;0.000;0.000;878.000
532f1234-a77f-454b-817e-3143d73104b0;1988;5;2106.110;ж/б блок;577.500;0.000;577.500;0.000
3eba8c4b-2787-4da9-ab89-31a0a8d8a90a;1992;9;5472.520;Панели железобетонные;849.000;0.000;849.000;0.000
47655c4a-d61d-4914-ae48-31da98c8fd06;1998;5;1393.480;Кирпич;484.600;0.000;484.600;0.000
f51ae43f-ed62-4a9c-a84a-31f0ea1c23a0;1984;12;3964.650;Кирпич;585.000;0.000;585.000;0.000
be26052a-9960-48d9-af68-322630339a77;1979;9;7374.050;Кирпич;1343.000;0.000;1343.000;0.000
8a139af6-8468-44bd-88fc-32883fe64ef0;2002;9;4354.160;Панели железобетонные;612.000;0.000;612.000;0.000
676ef8f4-1b76-427e-9e0e-33029ee6e80d;1989;3;1470.760;Кирпич;729.400;0.000;729.400;0.000
f1e1b2ef-9c58-4c0b-a82d-3407016896fb;1983;9;3541.260;Панели железобетонные;593.000;0.000;580.000;0.000
616104e2-2057-4703-ab6f-37292a24713c;1968;5;3175.620;Блоки;1030.000;0.000;1030.000;0.000
23f03f1b-07aa-4366-b246-373d61210f70;1990;9;5391.960;Панели железобетонные;854.000;0.000;854.000;0.000
a4eeb80a-724c-43b2-9ac0-3752e607c28d;1973;5;5925.930;Панели железобетонные;1610.000;0.000;1610.000;0.000
d3a20645-d142-427d-8b61-377ae1dc16b8;1959;4;3418.300;Кирпич;1505.500;3500.000;0.000;0.000
dfbebea6-34d2-498f-87f4-37cb81c3e226;1959;5;3349.970;Кирпич;1505.500;1600.000;0.000;0.000
5e73bc3c-9a5c-43e1-b979-37e7b4707021;1973;9;4174.300;Кирпич;772.500;0.000;772.500;0.000
5a2fa5d0-3aa6-42b0-a5dc-3852121dafbb;2010;10;1901.100;Панели железобетонные;590.690;0.000;590.690;0.000
1aea2918-5176-4927-b675-38aec924857c;1984;5;2086.080;Панели железобетонные;590.000;0.000;590.000;0.000
fa9904e9-ee69-4eeb-b85c-3972a1c4267d;1984;9;7682.040;Панели железобетонные;1226.000;0.000;1226.000;0.000
78bcccc8-c695-4bb0-aaad-39d8b29d096c;1981;5;3342.891;Кирпич;1107.890;0.000;1107.890;0.000
e5383b23-924c-4843-8975-3b1b36e76d2b;1959;4;2069.470;Блоки;937.000;0.000;0.000;1060.000
86cf8731-c2be-482b-b239-3b32f6a5cbf4;1969;5;5325.120;Блоки;1379.000;0.000;1379.000;0.000
f49b8c17-c6bf-4ea2-a858-3ba8598e3054;1988;3;884.170;Панели железобетонные;477.890;0.000;477.890;0.000
f49b8c17-c6bf-4ea2-a858-3ba8598e3054;1988;NULL;NULL;NULL;NULL;NULL;NULL;NULL
27a542ba-12f8-4f25-96d8-3bca378eec2e;1990;9;6244.940;Панели железобетонные;966.000;0.000;966.000;0.000
9b322d0b-595b-4cf8-8419-3c4f77b2a395;2002;9;2184.870;Панели железобетонные;407.000;0.000;407.000;0.000
b27e559a-9b5a-42cd-9ce6-3c5032918cf5;1992;9;4212.300;Панели железобетонные;675.000;0.000;675.000;0.000
c7b6f761-3317-4bb4-91a3-3c71dcb1fccf;1978;9;4188.340;Кирпич;773.280;0.000;773.280;0.000
0d70e868-4230-4d3b-8fdd-3d21a6ce9d4c;1998;9;4457.600;Панели железобетонные;795.300;0.000;795.300;0.000
2a8a9245-eb84-4af8-a09b-3d299806d931;1999;5;1411.410;Кирпич;473.000;0.000;473.000;0.000
04696a6e-f2cf-4596-8b37-3e16aff0bf75;1994;6;1854.100;Кирпич;498.000;0.000;451.000;0.000
1d8aa69d-738f-4cb3-8f98-3e5daf80bc99;1971;5;2555.250;Блоки;756.000;0.000;756.000;0.000
e2d8bbe3-50bb-4d9a-b001-3f4dcda052be;1971;9;1875.630;Кирпич;367.170;0.000;0.000;367.170
c5227406-8dd5-4399-901e-3f892e0657f6;1963;4;1979.020;Кирпич;900.000;0.000;900.000;0.000
bf2f1a61-17fe-422b-8c69-3f8adcf97125;1992;9;4133.810;Панели железобетонные;670.000;0.000;670.000;0.000
9cb4b27a-c33e-4207-9e02-3fa69c4a8d22;1967;5;3485.810;Блоки;1081.000;0.000;0.000;1081.000
22fc0c7f-0385-49c0-9127-3fee8ee1d9bb;1982;9;7645.620;Панели железобетонные;1231.000;0.000;1231.000;0.000
21b3cbd2-12fd-4b0d-8c25-407c29f5086b;1970;9;1858.600;Кирпич;453.720;0.000;0.000;453.720
cced1611-2e26-4144-9439-40f67d0fae16;1979;5;2844.980;Панели железобетонные;818.000;0.000;818.000;0.000
c7151ebc-7d57-41c4-8225-42730bf72c88;1995;9;4152.240;Панели железобетонные;661.600;0.000;0.000;0.000
e226800b-6abb-434f-8e09-4332522ba731;1977;9;1928.770;Кирпич;339.000;0.000;339.000;0.000
f94cc293-25dc-4231-9313-433876701699;1966;5;3530.710;Блоки;1092.000;0.000;0.000;1092.000
c3e15ac8-d3a6-419f-ac3f-43d394d05060;2013;9;3932.400;Панели железобетонные;737.410;0.000;737.410;0.000
a31e8619-5cab-4bcf-af43-444587ad448c;1969;5;5256.110;Кирпич;1320.000;0.000;1320.000;0.000
871e8e87-2cda-497a-8e41-4468ab0ffc81;1973;5;3495.750;ж/б блок;933.560;0.000;933.560;0.000
79336841-3ce1-49e5-955f-451ae79681b9;1986;9;3584.530;Панели железобетонные;554.000;0.000;554.000;0.000
a190e5b6-fa51-437a-aa0f-4520599ad55f;1989;12;3867.940;Кирпич;621.000;710.000;710.000;0.000
3fe06ae9-9751-47b5-be69-4586bdbbc9f5;1992;9;4282.420;Панели железобетонные;702.040;0.000;702.040;0.000
9d0edda8-c934-4c32-a7cc-465886772615;1962;NULL;NULL;Кирпич;328.000;NULL;NULL;NULL
b1cb6f44-136a-46c1-b56c-468a3453743d;1991;5;2767.810;Кирпич;1001.000;0.000;1001.000;0.000
cdf1333a-b2ff-4aa7-9364-46cddbb994a7;1986;5;3289.080;Панели железобетонные;919.000;0.000;919.000;0.000
b1ab4cb9-3502-4c37-9a47-46f482a5dc55;1967;5;2555.430;Кирпич;909.380;0.000;0.000;909.380
7a985f0b-391b-42db-962a-47370b1e5ffb;1967;5;2228.650;Блоки;756.000;0.000;756.000;0.000
fc322ca5-739f-4701-a5cd-4800df874872;1989;9;7668.470;Панели железобетонные;1225.000;0.000;1225.000;0.000
fac62be6-5a01-4e04-a5d8-48373da790b2;1975;5;4565.510;Блоки;1330.000;0.000;1330.000;0.000
79f1f182-02ec-4cc9-8814-498b72d9b81d;1962;4;2011.840;Кирпич;900.000;0.000;0.000;900.000
5bc244bd-7b7d-4234-bec6-49f73cd0d4ab;1989;9;5380.080;Кирпич;850.740;0.000;850.740;0.000
7fb5d44b-ddc9-4667-a0ea-4ab8ebc5c1dd;1970;5;5989.860;Блоки;1599.000;0.000;1599.000;0.000
b83ccf98-82e3-4098-8b5b-4afb3ce1aa2b;1997;9;4249.820;Панели железобетонные;680.000;0.000;680.000;0.000
ff87b2b7-4a10-44e9-9d0f-4bb145f05b60;1904;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4e81db29-d16a-491f-bac6-4c08ed920a9f;1972;5;3475.080;Блоки;1773.360;0.000;884.000;0.000
86bca579-b588-4f5b-8d3e-4c32a0ad027f;1982;9;3592.870;Панели железобетонные;590.000;0.000;590.000;0.000
c3c5b337-940e-4bf3-af7c-4c3c92992c05;1966;5;3506.756;Блоки;970.000;0.000;970.000;0.000
65bda727-7fd3-4af6-84d6-4c63f4251ffd;1962;5;2545.420;Кирпич;702.140;0.000;0.000;900.000
c992015d-efbc-46a1-b160-4d07669dc676;1974;5;4552.840;Блоки;1315.000;0.000;1315.000;0.000
62f24a87-a3b9-4989-8d26-4d1e9cd3e255;1970;5;3536.150;Панели железобетонные;933.580;0.000;933.580;0.000
77c32ffa-8ced-4c5b-b3ea-4dcba2e625de;1988;9;5328.090;Панели железобетонные;827.300;0.000;827.300;0.000
aa074ced-f7cd-4df7-ac8a-4e16d16b7f57;1970;5;5287.870;Кирпич;1320.000;0.000;1320.000;0.000
4511933e-1a95-499c-92bc-4ec00312416b;1986;5;1363.140;Кирпич;462.000;0.000;462.000;0.000
fe6bc411-d85b-4723-83e6-4ef7769b2ef1;1977;11;3908.750;Панели железобетонные;1380.360;0.000;1150.000;0.000
bdbc5938-aa5b-4caf-8bd1-4f7db9973bb4;1998;5;4591.970;Блоки;1218.000;0.000;1218.000;0.000
786f92b9-1a8e-45df-9183-4f8ead2f6e5c;1981;9;3587.200;Панели железобетонные;590.000;0.000;590.000;0.000
8bd868f3-1f18-467d-a4a8-5073b24d188c;1959;4;1988.830;ж/б блок;818.410;0.000;0.000;818.410
8c9459a4-fbd8-494e-aed3-50db1201f735;1988;5;1359.740;Кирпич;452.000;0.000;452.000;0.000
